column_name,column_position,column_class,missing_count,missing_rate,unique_count
district_id,1,character,0,0,103
district_name,2,character,0,0,104
governorate,3,character,0,0,18
landscan_population_total,4,numeric,0,0,104
kurdish_population,5,numeric,0,0,45
shia_population,6,numeric,0,0,63
sunni_population,7,numeric,0,0,51
christian_population,8,numeric,0,0,13
turcoman_population,9,numeric,0,0,14
mixed_shia_sunni_population,10,numeric,0,0,24
kurdish_prop,11,numeric,0,0,35
shia_prop,12,numeric,0,0,33
sunni_prop,13,numeric,0,0,44
christian_prop,14,numeric,0,0,13
turcoman_prop,15,numeric,0,0,14
mixed_shia_sunni_prop,16,numeric,0,0,24
other_prop,17,numeric,0,0,15
dominant_group,18,character,0,0,3
dominant_group_prop,19,numeric,0,0,55
ethnic_fractionalization,20,numeric,0,0,55
