column_name,column_position,column_class,missing_count,missing_rate,unique_count
district_id,1,character,0,0,103
district_name,2,character,0,0,104
governorate,3,character,0,0,18
governorate_id,4,character,0,0,17
district_area_km2,5,numeric,0,0,104
district_area_km2_geometry,6,numeric,0,0,104
population_total,7,numeric,0,0,104
district_label,8,character,0,0,104
event_month,9,Date,0,0,215
attack_count,10,integer,0,0,38
landscan_population_total,11,numeric,0,0,104
kurdish_population,12,numeric,0,0,45
shia_population,13,numeric,0,0,63
sunni_population,14,numeric,0,0,51
christian_population,15,numeric,0,0,13
turcoman_population,16,numeric,0,0,14
mixed_shia_sunni_population,17,numeric,0,0,24
kurdish_prop,18,numeric,0,0,35
shia_prop,19,numeric,0,0,33
sunni_prop,20,numeric,0,0,44
christian_prop,21,numeric,0,0,13
turcoman_prop,22,numeric,0,0,14
mixed_shia_sunni_prop,23,numeric,0,0,24
other_prop,24,numeric,0,0,15
dominant_group,25,character,0,0,3
dominant_group_prop,26,numeric,0,0,55
ethnic_fractionalization,27,numeric,0,0,55
population_qc_flag,28,character,0,0,2
attack_rate_100k,29,numeric,215,0.009615384615384616,368
attack_rate_1000km2,30,numeric,0,0,371
