column_name,column_class,missing_count,missing_rate,unique_count,example_values
attack_rate_100k,numeric,215,0.009615384615384616,368,0 | 0.926672412035621 | 4.63336206017811 | 3.70668964814248 | 1.85334482407124
attack_count,integer,0,0,38,0 | 1 | 5 | 4 | 2
attack_rate_1000km2,numeric,0,0,371,0 | 1.82051018088604 | 9.10255090443019 | 7.28204072354415 | 3.64102036177208
christian_area,numeric,0,0,13,0 | 5.98693439516232 | 90.8815404255874 | 7.31626228405498 | 7.86040758385121
christian_prop,numeric,0,0,13,0 | 0.00216576845007122 | 0.0919500590961706 | 0.00531937063043516 | 0.00541699921444491
district_area_km2,numeric,0,0,104,157.763891 | 549.296571 | 240.010498 | 96.313706 | 382.631501
district_area_km2_geometry,numeric,0,0,104,157.763891362916 | 549.296571092672 | 240.010498414408 | 96.3137060176451 | 382.631500905026
district_id,character,0,0,103,iq01001 | iq01002 | iq01003 | iq01004 | iq01005
district_label,character,0,0,104,Al Sadr [Baghdad] | Abu Ghraib [Baghdad] | Adhamiya [Baghdad] | Al Resafa [Baghdad] | Karkh [Baghdad]
district_name,character,0,0,104,Al Sadr | Abu Ghraib | Adhamiya | Al Resafa | Karkh
dominant_group,character,0,0,3,Shia | Sunni | Kurdish
dominant_group_prop,numeric,0,0,56,0.757133410186291 | 0.85965249465359 | 0.51274033791469 | 0.518465368711275 | 0.523250256766476
ethnic_fractionalization,numeric,0,0,56,0.367764818731937 | 0.241300166178898 | 0.499675367579639 | 0.499318060316713 | 0.498918851120586
event_month,Date,0,0,215,2003-08-01 | 2003-09-01 | 2003-10-01 | 2003-11-01 | 2003-12-01
governorate,character,0,0,18,Baghdad | Anbar | Basrah | Muthanna | Qadissiya
governorate_id,character,0,0,17,iq01 | iq02 | iq03 | iq04 | iq05
intersect_area_total_km2,numeric,0,0,104,157.763891380552 | 549.088903314297 | 240.737951961896 | 96.3137060169766 | 382.604998782923
kurdish_area,numeric,0,0,45,0 | 53.5425963045314 | 8.8731608284899 | 3619.08513266543 | 616.128266086077
kurdish_prop,numeric,0,0,35,0 | 0.00606006073352141 | 0.0063407671516589 | 0.994691776901511 | 1
mixed_shia_sunni_area,numeric,0,0,24,76.63115659067 | 150.256358969694 | 107.789572006238 | 78.7443532815564 | 251.549907814304
mixed_shia_sunni_prop,numeric,0,0,24,0.485733179627418 | 0.273646686470529 | 0.447746485868996 | 0.817582009228019 | 0.657466338951377
other_prop,numeric,0,0,2,1.11022302462516e-16 | 0
population_qc_flag,character,0,0,2,population_available | implausibly_low_population
population_total,numeric,0,0,104,1490567 | 107913 | 1019684 | 1055348 | 1763640
shia_area,numeric,0,0,63,119.448313085217 | 77.0632577935576 | 123.436058837833 | 49.9353211020411 | 182.406834929621
shia_prop,numeric,0,0,34,0.757133410186291 | 0.14034750534641 | 0.51274033791469 | 0.518465368711275 | 0.476749743233524
sunni_area,numeric,0,0,52,38.315578295335 | 472.025645520739 | 117.301893124063 | 46.3783849149355 | 200.198163853302
sunni_prop,numeric,0,0,45,0.242866589813709 | 0.85965249465359 | 0.48725966208531 | 0.481534631288725 | 0.523250256766476
turcoman_area,numeric,0,0,14,0 | 19.313431298745 | 51.2840000288471 | 19.1047221690468 | 527.486247689283
turcoman_prop,numeric,0,0,14,0 | 0.00530822309848931 | 0.0366548977322096 | 0.0210457241839448 | 0.0773886257786238
