column_name,column_position,column_class,missing_count,missing_rate,unique_count
source_file,1,character,0,0,1
source_path,2,character,0,0,1
eventid,3,character,0,0,7192
iyear,4,integer,0,0,19
imonth,5,integer,0,0,12
iday,6,integer,0,0,32
approxdate,7,character,5301,0.7370689655172413,948
extended,8,character,0,0,2
resolution,9,character,7113,0.9890155728587319,77
country,10,character,0,0,1
country_txt,11,character,0,0,1
region,12,character,0,0,1
region_txt,13,character,0,0,1
provstate,14,character,0,0,21
city,15,character,1,1.3904338153503893e-4,1251
latitude,16,numeric,0,0,1873
longitude,17,numeric,0,0,1854
specificity,18,character,0,0,4
vicinity,19,character,0,0,3
location,20,character,3516,0.4888765294771969,2496
summary,21,character,0,0,6652
crit1,22,character,0,0,2
crit2,23,character,0,0,2
crit3,24,character,0,0,2
doubtterr,25,character,0,0,2
alternative,26,character,5676,0.789210233592881,5
alternative_txt,27,character,5676,0.789210233592881,5
multiple,28,character,0,0,2
success,29,integer,0,0,2
suicide,30,integer,0,0,2
attacktype1,31,character,0,0,8
attacktype1_txt,32,character,0,0,8
attacktype2,33,character,6940,0.9649610678531702,6
attacktype2_txt,34,character,6940,0.9649610678531702,6
attacktype3,35,character,7178,0.9980533926585095,3
attacktype3_txt,36,character,7178,0.9980533926585095,3
targtype1,37,character,0,0,21
targtype1_txt,38,character,0,0,21
targsubtype1,39,character,311,0.04324249165739711,92
targsubtype1_txt,40,character,311,0.04324249165739711,92
corp1,41,character,125,0.017380422691879865,938
target1,42,character,1,1.3904338153503893e-4,1506
natlty1,43,character,1,1.3904338153503893e-4,25
natlty1_txt,44,character,1,1.3904338153503893e-4,25
targtype2,45,character,6311,0.8775027808676307,15
targtype2_txt,46,character,6311,0.8775027808676307,15
targsubtype2,47,character,6319,0.878615127919911,56
targsubtype2_txt,48,character,6319,0.878615127919911,56
corp2,49,character,6319,0.878615127919911,124
target2,50,character,6313,0.8777808676307007,234
natlty2,51,character,6315,0.8780589543937709,9
natlty2_txt,52,character,6315,0.8780589543937709,9
targtype3,53,character,7090,0.985817575083426,12
targtype3_txt,54,character,7090,0.985817575083426,12
targsubtype3,55,character,7093,0.9862347052280311,23
targsubtype3_txt,56,character,7093,0.9862347052280311,23
corp3,57,character,7093,0.9862347052280311,34
target3,58,character,7090,0.985817575083426,46
natlty3,59,character,7091,0.9859566184649611,6
natlty3_txt,60,character,7091,0.9859566184649611,6
gname,61,character,0,0,11
gsubname,62,character,6362,0.8845939933259177,19
gname2,63,character,7150,0.9941601779755284,14
gsubname2,64,character,7181,0.9984705228031145,2
gname3,65,character,7189,0.9995828698553949,2
gsubname3,66,character,7192,1,0
motive,67,character,5441,0.7565350389321468,681
guncertain1,68,character,1,1.3904338153503893e-4,2
guncertain2,69,character,7150,0.9941601779755284,2
guncertain3,70,character,7189,0.9995828698553949,1
individual,71,character,0,0,1
nperps,72,character,107,0.014877641824249166,40
nperpcap,73,character,32,0.004449388209121246,16
claimed,74,character,0,0,3
claimmode,75,character,4161,0.578559510567297,8
claimmode_txt,76,character,4161,0.578559510567297,8
claim2,77,character,7150,0.9941601779755284,2
claimmode2,78,character,7177,0.9979143492769744,3
claimmode2_txt,79,character,7177,0.9979143492769744,3
claim3,80,character,7189,0.9995828698553949,2
claimmode3,81,character,7191,0.999860956618465,1
claimmode3_txt,82,character,7191,0.999860956618465,1
compclaim,83,character,7047,0.9798387096774194,3
weaptype1,84,character,0,0,9
weaptype1_txt,85,character,0,0,9
weapsubtype1,86,character,1365,0.18979421579532815,23
weapsubtype1_txt,87,character,1365,0.18979421579532815,23
weaptype2,88,character,6519,0.9064238042269188,7
weaptype2_txt,89,character,6519,0.9064238042269188,7
weapsubtype2,90,character,6751,0.9386818687430478,16
weapsubtype2_txt,91,character,6751,0.9386818687430478,16
weaptype3,92,character,7089,0.985678531701891,5
weaptype3_txt,93,character,7089,0.985678531701891,5
weapsubtype3,94,character,7109,0.9884593993325917,9
weapsubtype3_txt,95,character,7109,0.9884593993325917,9
weaptype4,96,character,7192,1,0
weaptype4_txt,97,character,7192,1,0
weapsubtype4,98,character,7192,1,0
weapsubtype4_txt,99,character,7192,1,0
weapdetail,100,character,4708,0.6546162402669633,843
nkill,101,numeric,558,0.07758620689655173,102
nkillus,102,character,8,0.0011123470522803114,5
nkillter,103,character,285,0.0396273637374861,54
nwound,104,numeric,798,0.11095661846496106,109
nwoundus,105,character,18,0.002502780867630701,8
nwoundte,106,character,447,0.0621523915461624,21
property,107,character,0,0,3
propextent,108,character,4981,0.6925750834260289,3
propextent_txt,109,character,4981,0.6925750834260289,3
propvalue,110,character,5232,0.7274749721913237,5
propcomment,111,character,4251,0.5910734149054505,834
ishostkid,112,character,0,0,3
nhostkid,113,character,6559,0.9119855394883204,81
nhostkidus,114,character,6560,0.9121245828698554,3
nhours,115,character,6970,0.9691323692992213,6
ndays,116,character,6776,0.9421579532814238,28
divert,117,character,7186,0.9991657397107898,3
kidhijcountry,118,character,7186,0.9991657397107898,2
ransom,119,character,6562,0.9124026696329255,3
ransomamt,120,character,7183,0.9987486095661846,6
ransomamtus,121,character,7184,0.9988876529477196,1
ransompaid,122,character,7183,0.9987486095661846,5
ransompaidus,123,character,7184,0.9988876529477196,1
ransomnote,124,character,7186,0.9991657397107898,6
hostkidoutcome,125,character,6559,0.9119855394883204,6
hostkidoutcome_txt,126,character,6559,0.9119855394883204,6
nreleased,127,character,6565,0.9128197997775306,25
addnotes,128,character,5046,0.7016129032258065,646
scite1,129,character,1,1.3904338153503893e-4,4351
scite2,130,character,1959,0.2723859844271413,3457
scite3,131,character,3950,0.5492213570634038,2246
dbsource,132,character,0,0,4
int_log,133,character,0,0,1
int_ideo,134,character,0,0,2
int_misc,135,character,0,0,2
int_any,136,character,0,0,2
related,137,character,4909,0.6825639599555061,632
perp_text,138,character,0,0,42
narrative_text,139,character,0,0,6660
iyear_num,140,character,0,0,19
formal_name_hit,141,character,0,0,1
generic_jihadi_hit,142,character,0,0,1
low_info_label_hit,143,character,0,0,1
core_text_hit,144,character,0,0,2
allegiance_text_hit,145,character,0,0,2
exclusion_only_hit,146,character,0,0,1
claim_hit,147,character,0,0,2
weak_is_signal,148,character,0,0,2
is_inspired_score,149,character,0,0,4
generic_jihadi_review_hit,150,character,0,0,1
low_info_review_hit,151,character,0,0,1
review_candidate,152,character,0,0,1
is_inspired_class,153,character,0,0,1
inclusion_reason,154,character,0,0,1
event_year,155,integer,0,0,19
event_month_number,156,integer,0,0,12
event_day_clean,157,integer,0,0,31
event_date,158,Date,0,0,2443
event_month,159,Date,0,0,200
district_id,160,character,0,0,71
district_name,161,character,0,0,72
governorate,162,character,0,0,18
district_label,163,character,0,0,72
district_area_km2,164,numeric,0,0,72
district_area_km2_geometry,165,numeric,0,0,72
population_total,166,numeric,0,0,72
