column_name,column_position,column_class,missing_count,missing_rate,unique_count
source_file,1,character,0,0,1
source_path,2,character,0,0,1
eventid,3,character,0,0,7220
iyear,4,integer,0,0,19
imonth,5,integer,0,0,12
iday,6,integer,0,0,32
approxdate,7,character,5315,0.7361495844875346,956
extended,8,character,0,0,2
resolution,9,character,7135,0.9882271468144044,82
country,10,character,0,0,1
country_txt,11,character,0,0,1
region,12,character,0,0,1
region_txt,13,character,0,0,1
provstate,14,character,0,0,22
city,15,character,1,1.3850415512465375e-4,1254
latitude,16,numeric,28,0.003878116343490305,1873
longitude,17,numeric,28,0.003878116343490305,1854
specificity,18,character,0,0,5
vicinity,19,character,0,0,3
location,20,character,3532,0.489196675900277,2505
summary,21,character,0,0,6680
crit1,22,character,0,0,2
crit2,23,character,0,0,2
crit3,24,character,0,0,2
doubtterr,25,character,0,0,2
alternative,26,character,5699,0.7893351800554017,5
alternative_txt,27,character,5699,0.7893351800554017,5
multiple,28,character,0,0,2
success,29,integer,0,0,2
suicide,30,integer,0,0,2
attacktype1,31,character,0,0,8
attacktype1_txt,32,character,0,0,8
attacktype2,33,character,6964,0.9645429362880886,6
attacktype2_txt,34,character,6964,0.9645429362880886,6
attacktype3,35,character,7206,0.9980609418282549,3
attacktype3_txt,36,character,7206,0.9980609418282549,3
targtype1,37,character,0,0,21
targtype1_txt,38,character,0,0,21
targsubtype1,39,character,317,0.043905817174515235,92
targsubtype1_txt,40,character,317,0.043905817174515235,92
corp1,41,character,125,0.01731301939058172,943
target1,42,character,1,1.3850415512465375e-4,1524
natlty1,43,character,1,1.3850415512465375e-4,27
natlty1_txt,44,character,1,1.3850415512465375e-4,27
targtype2,45,character,6339,0.87797783933518,15
targtype2_txt,46,character,6339,0.87797783933518,15
targsubtype2,47,character,6347,0.8790858725761773,56
targsubtype2_txt,48,character,6347,0.8790858725761773,56
corp2,49,character,6347,0.8790858725761773,124
target2,50,character,6341,0.8782548476454294,234
natlty2,51,character,6343,0.8785318559556786,9
natlty2_txt,52,character,6343,0.8785318559556786,9
targtype3,53,character,7118,0.9858725761772853,12
targtype3_txt,54,character,7118,0.9858725761772853,12
targsubtype3,55,character,7121,0.9862880886426593,23
targsubtype3_txt,56,character,7121,0.9862880886426593,23
corp3,57,character,7121,0.9862880886426593,34
target3,58,character,7118,0.9858725761772853,46
natlty3,59,character,7119,0.9860110803324099,6
natlty3_txt,60,character,7119,0.9860110803324099,6
gname,61,character,0,0,11
gsubname,62,character,6389,0.8849030470914128,20
gname2,63,character,7177,0.9940443213296399,15
gsubname2,64,character,7209,0.9984764542936289,2
gname3,65,character,7217,0.999584487534626,2
gsubname3,66,character,7220,1,0
motive,67,character,5455,0.7555401662049861,692
guncertain1,68,character,1,1.3850415512465375e-4,2
guncertain2,69,character,7177,0.9940443213296399,2
guncertain3,70,character,7217,0.999584487534626,1
individual,71,character,0,0,1
nperps,72,character,112,0.01551246537396122,40
nperpcap,73,character,33,0.004570637119113574,16
claimed,74,character,0,0,3
claimmode,75,character,4179,0.5788088642659279,8
claimmode_txt,76,character,4179,0.5788088642659279,8
claim2,77,character,7177,0.9940443213296399,2
claimmode2,78,character,7205,0.9979224376731302,3
claimmode2_txt,79,character,7205,0.9979224376731302,3
claim3,80,character,7217,0.999584487534626,2
claimmode3,81,character,7219,0.9998614958448754,1
claimmode3_txt,82,character,7219,0.9998614958448754,1
compclaim,83,character,7068,0.9789473684210527,3
weaptype1,84,character,0,0,9
weaptype1_txt,85,character,0,0,9
weapsubtype1,86,character,1379,0.19099722991689752,23
weapsubtype1_txt,87,character,1379,0.19099722991689752,23
weaptype2,88,character,6546,0.9066481994459834,7
weaptype2_txt,89,character,6546,0.9066481994459834,7
weapsubtype2,90,character,6778,0.938781163434903,16
weapsubtype2_txt,91,character,6778,0.938781163434903,16
weaptype3,92,character,7117,0.9857340720221607,5
weaptype3_txt,93,character,7117,0.9857340720221607,5
weapsubtype3,94,character,7137,0.9885041551246537,9
weapsubtype3_txt,95,character,7137,0.9885041551246537,9
weaptype4,96,character,7220,1,0
weaptype4_txt,97,character,7220,1,0
weapsubtype4,98,character,7220,1,0
weapsubtype4_txt,99,character,7220,1,0
weapdetail,100,character,4728,0.6548476454293629,847
nkill,101,numeric,565,0.07825484764542937,102
nkillus,102,character,8,0.00110803324099723,5
nkillter,103,character,287,0.03975069252077562,54
nwound,104,numeric,809,0.11204986149584488,109
nwoundus,105,character,18,0.002493074792243767,8
nwoundte,106,character,451,0.06246537396121884,21
property,107,character,0,0,3
propextent,108,character,5006,0.6933518005540166,3
propextent_txt,109,character,5006,0.6933518005540166,3
propvalue,110,character,5257,0.7281163434903047,5
propcomment,111,character,4274,0.5919667590027701,836
ishostkid,112,character,0,0,3
nhostkid,113,character,6571,0.9101108033240998,81
nhostkidus,114,character,6572,0.9102493074792244,3
nhours,115,character,6996,0.9689750692520775,6
ndays,116,character,6788,0.9401662049861496,28
divert,117,character,7214,0.9991689750692521,3
kidhijcountry,118,character,7213,0.9990304709141274,2
ransom,119,character,6574,0.9105263157894737,3
ransomamt,120,character,7211,0.9987534626038781,6
ransomamtus,121,character,7212,0.9988919667590028,1
ransompaid,122,character,7211,0.9987534626038781,5
ransompaidus,123,character,7212,0.9988919667590028,1
ransomnote,124,character,7213,0.9990304709141274,7
hostkidoutcome,125,character,6571,0.9101108033240998,6
hostkidoutcome_txt,126,character,6571,0.9101108033240998,6
nreleased,127,character,6577,0.9109418282548476,26
addnotes,128,character,5065,0.7015235457063712,654
scite1,129,character,1,1.3850415512465375e-4,4369
scite2,130,character,1973,0.27326869806094184,3467
scite3,131,character,3975,0.5505540166204986,2249
dbsource,132,character,0,0,4
int_log,133,character,0,0,1
int_ideo,134,character,0,0,2
int_misc,135,character,0,0,2
int_any,136,character,0,0,2
related,137,character,4935,0.6835180055401662,632
perp_text,138,character,0,0,44
narrative_text,139,character,0,0,6688
iyear_num,140,character,0,0,19
formal_name_hit,141,character,0,0,1
generic_jihadi_hit,142,character,0,0,1
low_info_label_hit,143,character,0,0,1
core_text_hit,144,character,0,0,2
allegiance_text_hit,145,character,0,0,2
exclusion_only_hit,146,character,0,0,1
claim_hit,147,character,0,0,2
weak_is_signal,148,character,0,0,2
is_inspired_score,149,character,0,0,4
generic_jihadi_review_hit,150,character,0,0,1
low_info_review_hit,151,character,0,0,1
review_candidate,152,character,0,0,1
is_inspired_class,153,character,0,0,1
inclusion_reason,154,character,0,0,1
event_year,155,integer,0,0,19
event_month_number,156,integer,0,0,12
event_day_clean,157,integer,0,0,31
event_date,158,Date,0,0,2453
event_month,159,Date,0,0,201
